ECI_ECI,S_ENBID,S_CELLID,S_PCI,S_EARFCN,A_ENBID,A_CELLID,A_PCI,A_EARFCN,distance,total,GE-10db,GE-6db,NbrAvg,NbrMax,NbrMin
175159809_168999937,684218,1,471,38400,660156,1,48,38400,11401,5,2,0,-117,35,11
175159809_168999937_H11,684218,1,471,38400,660156,1,48,38400,11401,1,0,0,-105,35,35
175159809_168999937_H17,684218,1,471,38400,660156,1,48,38400,11401,1,0,0,-117,23,23
175159809_168999937_H20,684218,1,471,38400,660156,1,48,38400,11401,1,1,0,-129,11,11
175159809_168999937_H21,684218,1,471,38400,660156,1,48,38400,11401,1,0,0,-107,33,33
175159809_168999937_H23,684218,1,471,38400,660156,1,48,38400,11401,1,1,0,-128,12,12
175159809_175159810,684218,1,471,38400,684218,2,473,38400,0,11613,8598,5916,-103,73,5
175159809_175159810_H00,684218,1,471,38400,684218,2,473,38400,0,251,134,95,-103,67,12
175159809_175159810_H01,684218,1,471,38400,684218,2,473,38400,0,307,264,210,-110,67,10
175159809_175159810_H02,684218,1,471,38400,684218,2,473,38400,0,229,209,136,-107,59,19
175159809_175159810_H03,684218,1,471,38400,684218,2,473,38400,0,605,588,473,-112,58,18
175159809_175159810_H04,684218,1,471,38400,684218,2,473,38400,0,109,94,61,-107,64,21
175159809_175159810_H05,684218,1,471,38400,684218,2,473,38400,0,180,155,109,-102,72,15
175159809_175159810_H06,684218,1,471,38400,684218,2,473,38400,0,322,251,170,-97,71,12
175159809_175159810_H07,684218,1,471,38400,684218,2,473,38400,0,1008,886,769,-108,71,5
175159809_175159810_H08,684218,1,471,38400,684218,2,473,38400,0,468,345,221,-95,72,17
175159809_175159810_H09,684218,1,471,38400,684218,2,473,38400,0,327,166,87,-97,70,17
175159809_175159810_H10,684218,1,471,38400,684218,2,473,38400,0,409,226,124,-101,73,14
175159809_175159810_H11,684218,1,471,38400,684218,2,473,38400,0,1002,779,430,-101,70,5
175159809_175159810_H12,684218,1,471,38400,684218,2,473,38400,0,266,146,92,-99,65,11
175159809_175159810_H13,684218,1,471,38400,684218,2,473,38400,0,284,195,124,-103,64,11
175159809_175159810_H14,684218,1,471,38400,684218,2,473,38400,0,570,403,238,-105,67,12
175159809_175159810_H15,684218,1,471,38400,684218,2,473,38400,0,253,142,79,-102,64,14
175159809_175159810_H16,684218,1,471,38400,684218,2,473,38400,0,436,230,109,-96,70,13
175159809_175159810_H17,684218,1,471,38400,684218,2,473,38400,0,370,175,89,-96,71,13
175159809_175159810_H18,684218,1,471,38400,684218,2,473,38400,0,457,297,202,-100,69,11
175159809_175159810_H19,684218,1,471,38400,684218,2,473,38400,0,550,376,271,-102,67,11
175159809_175159810_H20,684218,1,471,38400,684218,2,473,38400,0,525,341,215,-99,72,11
175159809_175159810_H21,684218,1,471,38400,684218,2,473,38400,0,1218,1016,810,-107,71,13
175159809_175159810_H22,684218,1,471,38400,684218,2,473,38400,0,1129,951,649,-106,65,14
175159809_175159810_H23,684218,1,471,38400,684218,2,473,38400,0,338,229,153,-105,65,9
175159809_175159811,684218,1,471,38400,684218,3,472,38400,0,1901,587,233,-94,69,10
175159809_175159811_H00,684218,1,471,38400,684218,3,472,38400,0,68,1,0,-100,56,16
175159809_175159811_H01,684218,1,471,38400,684218,3,472,38400,0,20,8,3,-99,53,28
175159809_175159811_H02,684218,1,471,38400,684218,3,472,38400,0,5,2,2,-100,50,20
175159809_175159811_H03,684218,1,471,38400,684218,3,472,38400,0,5,0,0,-97,47,40
175159809_175159811_H04,684218,1,471,38400,684218,3,472,38400,0,4,0,0,-97,47,41
175159809_175159811_H05,684218,1,471,38400,684218,3,472,38400,0,17,7,3,-87,64,37
175159809_175159811_H06,684218,1,471,38400,684218,3,472,38400,0,82,34,18,-86,68,29
175159809_175159811_H07,684218,1,471,38400,684218,3,472,38400,0,98,29,7,-87,69,34
175159809_175159811_H08,684218,1,471,38400,684218,3,472,38400,0,143,58,19,-92,65,20
175159809_175159811_H09,684218,1,471,38400,684218,3,472,38400,0,118,32,12,-99,59,18
175159809_175159811_H10,684218,1,471,38400,684218,3,472,38400,0,74,30,8,-95,67,14
175159809_175159811_H11,684218,1,471,38400,684218,3,472,38400,0,231,30,4,-97,63,20
175159809_175159811_H12,684218,1,471,38400,684218,3,472,38400,0,68,23,6,-97,61,17
175159809_175159811_H13,684218,1,471,38400,684218,3,472,38400,0,62,32,10,-101,68,17
175159809_175159811_H14,684218,1,471,38400,684218,3,472,38400,0,80,29,12,-95,68,10
175159809_175159811_H15,684218,1,471,38400,684218,3,472,38400,0,93,35,17,-96,64,20
