ECI_ECI,S_ENBID,S_CELLID,S_PCI,S_EARFCN,A_ENBID,A_CELLID,A_PCI,A_EARFCN,distance,total,GE-10db,GE-6db,NbrAvg,NbrMax,NbrMin
175159809_168999937,684218,1,471,38400,660156,1,48,38400,11401,5,2,0,-117,35,11
175159809_175159810,684218,1,471,38400,684218,2,473,38400,0,11613,8598,5916,-103,73,5
175159809_175159811,684218,1,471,38400,684218,3,472,38400,0,1901,587,233,-94,69,10
175159809_175160065,684218,1,471,38400,684219,1,376,38400,5885,1,0,0,-119,21,21
175159809_179525378,684218,1,471,38400,701271,2,63,38400,12586,1,0,0,-122,18,18
175159809_179536129,684218,1,471,38400,701313,1,31,38400,6650,11,5,1,-116,33,14
175159809_179536130,684218,1,471,38400,701313,2,32,38400,6650,2,0,0,-113,34,20
175159809_179536131,684218,1,471,38400,701313,3,30,38400,6650,1,0,0,-120,20,20
175159809_179537410,684218,1,471,38400,701318,2,80,38400,18905,1,0,0,-107,33,33
175159809_179546981,684218,1,471,38400,701355,101,135,38400,3707,2,1,0,-107,33,32
175159809_179548418,684218,1,471,38400,701361,2,224,38400,6013,1,0,0,-115,25,25
175159809_179548930,684218,1,471,38400,701363,2,71,38400,5467,2,0,0,-123,22,11
175159809_179550209,684218,1,471,38400,701368,1,52,38400,4334,1,0,0,-104,36,36
175159809_179550211,684218,1,471,38400,701368,3,51,38400,4334,3,0,0,-122,33,10
175159809_179550465,684218,1,471,38400,701369,1,496,38400,1654,4,2,2,-114,39,18
175159809_179550466,684218,1,471,38400,701369,2,497,38400,1654,1176,772,548,-112,60,6
175159809_179550977,684218,1,471,38400,701371,1,276,38400,5703,1,0,0,-107,33,33
175159809_179550978,684218,1,471,38400,701371,2,277,38400,5703,51,17,3,-115,35,15
175159809_179552769,684218,1,471,38400,701378,1,256,38400,4753,3,1,1,-121,23,13
175159809_179554306,684218,1,471,38400,701384,2,380,38400,948,275,213,159,-104,56,13
175159809_179554307,684218,1,471,38400,701384,3,378,38400,948,122,50,22,-105,52,12
175159809_179573506,684218,1,471,38400,701459,2,450,38400,4050,1,0,0,-122,18,18
175159809_179591937,684218,1,471,38400,701531,1,15,38400,5956,1,0,0,-107,33,33
175159809_179591938,684218,1,471,38400,701531,2,17,38400,5956,2,1,0,-115,36,14
175159809_179591939,684218,1,471,38400,701531,3,16,38400,5956,3,1,0,-128,15,6
175159809_179630081,684218,1,471,38400,701680,1,343,38400,3540,1,1,0,-126,14,14
175159809_179630083,684218,1,471,38400,701680,3,342,38400,3540,1,0,0,-104,36,36
175159809_179644673,684218,1,471,38400,701737,1,113,38400,3898,1,0,0,-128,12,12
175159809_179644674,684218,1,471,38400,701737,2,112,38400,3898,2,1,0,-116,36,12
175159809_179645185,684218,1,471,38400,701739,1,156,38400,2243,889,478,206,-111,55,7
175159809_179668737,684218,1,471,38400,701831,1,114,38400,5631,2,0,0,-104,36,35
