eci,S_ENBID,S_CELLID,S_PCI,S_EARFCN,scTotal,NcTotal,AdjLT-10db,Adj-10db,Adj-9db,Adj-8db,Adj-7db,Adj-6db,Adj-5db,Adj-4db,Adj-3db,Adj-2db,Adj-1db,Adj0db,Adj1db,Adj2db,Adj3db,Adj4db,Adj5db,Adj6db,AdjGT6db,GE-10,GE-6,TotalNei,NeiGE-10,NeiGE-6,AdjTotal,Adj-10db,Adj-6db,overlap6db,overshoot6db,avg_adj_report_times,dbmtotal,dbmavg,overlap1_num,overlap1_rate,overlap2_num,overlap2_rate,overlap3_num,overlap3_rate,overlap4_num,overlap4_rate,overlap5_num,overlap5_rate,overlap6_num,overlap6_rate,overlap7_num,overlap7_rate,overlap8_num,overlap8_rate,cmccoverlap_num,cmccoverlap_rate,500M,1000M,1500M,AVG-Distance,SinrUL
175159809,684218,1,471,38400,115205,76366,22630,4811,5118,5626,5674,5816,5742,5341,4382,3669,2807,2025,1136,614,359,215,126,97,178,53736,32507,179,75,40,10529,9033,6351,43,60,0.6,5097671,-96,25475,0.221127555227638,6133,0.053235536652055,845,0.00733475109587258,50,0.000434008940584176,4,3.47207152467341e-005,0,0,0,0,0,0,422,0.00366303545853045,0.965938978342954,0.0340349811206111,2.60405364350506e-005,257,35.4495638210147
175159809_H00,684218,1,471,38400,6009,3936,1361,252,241,259,263,285,288,274,221,190,131,88,34,16,13,6,6,2,6,2575,1560,32,21,17,329,296,212,40,64,0.6,279423,-93,1197,0.199201198202696,306,0.0509236145781328,57,0.00948577134298552,0,0,0,0,0,0,0,0,0,0,25,0.00416042602762523,0.970544183724413,0.0294558162755866,0,233,35.2286570144783
175159809_H01,684218,1,471,38400,3970,2503,732,184,183,167,164,165,173,128,111,130,137,113,61,22,14,9,3,4,3,1771,1073,36,21,14,454,435,352,43,78,0.6,169784,-97,777,0.195717884130982,254,0.0639798488664987,41,0.0103274559193955,1,0.000251889168765743,0,0,0,0,0,0,0,0,15,0.00377833753148615,0.971536523929471,0.028463476070529,0,252,35.4926952141058
175159809_H02,684218,1,471,38400,2930,1855,453,115,115,131,154,114,124,134,149,129,106,77,24,13,9,1,1,3,3,1402,887,27,19,14,1077,1068,756,48,70,0.6,123313,-98,712,0.243003412969283,136,0.0464163822525597,38,0.0129692832764505,1,0.000341296928327645,0,0,0,0,0,0,0,0,27,0.00921501706484642,0.967576791808874,0.0324232081911263,0,247,35.4331058020478
175159809_H03,684218,1,471,38400,2593,2072,386,97,125,147,224,254,284,243,111,63,54,45,25,8,6,0,0,0,0,1686,1093,25,15,10,280,252,104,53,37,0.7,104173,-100,852,0.328576937909757,225,0.0867720786733513,15,0.00578480524489009,1,0.000385653682992673,0,0,0,0,0,0,0,0,14,0.00539915156189742,0.991129965291168,0.00887003470883147,0,289,35.6972618588508
175159809_H04,684218,1,471,38400,1876,934,244,90,83,71,68,68,57,59,50,26,45,47,16,7,1,2,0,0,0,690,378,25,18,12,270,232,111,40,41,0.4,82954,-96,278,0.14818763326226,78,0.0415778251599147,21,0.0111940298507463,1,0.000533049040511727,0,0,0,0,0,0,0,0,21,0.0111940298507463,0.980810234541578,0.0191897654584222,0,233,35.7547974413646
175159809_H05,684218,1,471,38400,2301,1230,355,86,65,90,76,79,73,93,98,71,83,35,14,5,1,0,1,0,5,875,558,23,17,14,217,181,80,45,37,0.5,103669,-95,412,0.179052585832247,127,0.055193394176445,19,0.00825727944372012,0,0,0,0,0,0,0,0,0,0,17,0.00738809213385485,0.977401129943503,0.0225988700564972,0,230,35.6879617557584
175159809_H06,684218,1,471,38400,3030,2251,512,170,174,152,108,137,169,150,151,181,145,102,68,20,6,0,2,1,3,1739,1135,26,18,14,306,244,189,50,62,0.7,135917,-95,706,0.233003300330033,281,0.0927392739273927,148,0.0488448844884488,0,0,0,0,0,0,0,0,0,0,99,0.0326732673267327,0.956105610561056,0.0438943894389439,0,249,35.4613861386139
175159809_H07,684218,1,471,38400,5113,4066,912,220,227,253,248,388,479,480,336,255,107,67,35,21,12,8,5,6,7,3154,2206,49,21,17,301,235,165,54,55,0.7,222567,-96,1572,0.307451593976139,589,0.115196557793859,44,0.00860551535302171,1,0.000195579894386857,0,0,0,0,0,0,0,0,7,0.001369059260708,0.979855270878154,0.0201447291218463,0,271,35.5699198122433
175159809_H08,684218,1,471,38400,5059,3256,1067,217,211,264,260,264,225,195,147,112,100,90,38,21,12,11,8,9,5,2189,1237,38,22,20,567,483,350,38,62,0.6,234719,-94,976,0.192923502668512,219,0.0432891875864795,31,0.00612769322000395,10,0.00197667523225934,1,0.000197667523225934,0,0,0,0,0,0,11,0.00217434275548527,0.955129472227713,0.044870527772287,0,268,35.6062462937339
175159809_H09,684218,1,471,38400,4022,2336,917,212,188,163,170,161,146,124,68,47,38,34,18,10,13,10,7,4,6,1419,686,30,22,16,227,149,96,29,42,0.5,188236,-93,573,0.142466434609647,95,0.0236200895077076,14,0.0034808552958727,3,0.000745897563401293,1,0.000248632521133764,0,0,0,0,0,0,7,0.00174042764793635,0.960964694181999,0.0387866732968672,0.000248632521133764,250,35.4716558925908
175159809_H10,684218,1,471,38400,4669,2785,821,234,219,244,243,183,178,170,118,138,90,58,38,18,12,6,4,3,8,1964,1024,34,22,13,337,255,119,37,35,0.5,214953,-94,870,0.186335403726708,139,0.0297708288712786,15,0.00321267937459842,0,0,0,0,0,0,0,0,0,0,6,0.00128507174983937,0.951595630756051,0.0484043692439495,0,260,35.4525594345684
175159809_H11,684218,1,471,38400,4807,3401,969,202,268,285,334,299,253,219,191,131,96,83,38,11,13,4,1,1,3,2432,1343,27,16,13,278,210,145,39,52,0.7,214307,-95,1094,0.227584772207198,222,0.0461826503016434,25,0.00520074890784273,2,0.000416059912627418,0,0,0,0,0,0,0,0,10,0.00208029956313709,0.960682338256709,0.039317661743291,0,252,35.5279800291242
175159809_H12,684218,1,471,38400,5127,3040,1159,208,209,273,211,211,170,151,105,123,87,51,32,19,13,8,3,2,5,1881,980,35,18,15,384,272,202,32,53,0.5,227634,-96,796,0.155256485274039,167,0.0325726545738248,14,0.00273064170079969,3,0.000585137507314219,0,0,0,0,0,0,0,0,9,0.00175541252194266,0.972888628827774,0.0271113711722255,0,252,35.3662960795787
175159809_H13,684218,1,471,38400,4246,2493,758,167,164,203,197,171,161,165,146,123,93,60,44,17,8,4,3,4,5,1735,1004,36,20,14,118,91,48,40,41,0.5,181078,-97,831,0.195713612812058,162,0.0381535562882713,10,0.0023551577955723,1,0.00023551577955723,0,0,0,0,0,0,0,0,4,0.000942063118228921,0.983984926990108,0.0160150730098917,0,245,35.378709373528
